Frequency,1,2,3,4
2412,18.8,18.5,18.4,18.7
2417,18.8,18.5,18.4,18.7
2422,18.8,18.5,18.4,18.7
2427,18.8,18.5,18.4,18.7
2432,18.8,18.5,18.4,18.7
2437,18.8,18.5,18.4,18.7
2442,18.8,18.5,18.4,18.7
2447,18.8,18.5,18.4,18.7
2452,18.8,18.5,18.4,18.7
2457,18.8,18.5,18.4,18.7
2462,18.8,18.5,18.4,18.7
2467,18.8,18.5,18.4,18.7
2472,18.8,18.5,18.4,18.7
5180,19.2,19,19,19
5260,19,19,18.4,19
5320,19,19,19,19.7
5500,21.5,19.9,19.8,21.9
5600,21.2,19.8,19.7,21.2
5745,21.2,19.9,20,21.8
5785,21.2,20.1,20.1,21.2
5825,21.2,20.1,20,21.3
