Frequency,1,2,3,4
2412,21.85,21.85,21.85,21.85
2417,21.85,21.85,21.85,21.85
2422,21.85,21.85,21.85,21.85
2427,21.85,21.85,21.85,21.85
2432,21.85,21.85,21.85,21.85
2437,21.85,21.85,21.85,21.85
2442,21.85,21.85,21.85,21.85
2447,21.85,21.85,21.85,21.85
2452,21.85,21.85,21.85,21.85
2457,21.85,21.85,21.85,21.85
2462,21.85,21.85,21.85,21.85
2467,21.85,21.85,21.85,21.85
2472,21.85,21.85,21.85,21.85
5180,22.68,22.82,22.68,22.82
5260,22.57,22.7,22.57,22.7
5320,22.57,22.67,22.57,22.67
5500,23.06,23.13,23.06,23.13
5600,23.55,23.64,23.55,23.64
5745,23.04,23.19,23.04,23.19
5785,23.28,23.44,23.28,23.44
5825,22.89,23.06,22.89,23.06
