Frequency,1,2,3,4
2412,7.9,7.9,15.3,7.9
2417,7.9,7.9,15.3,7.9
2422,7.9,7.9,15.3,7.9
2427,7.9,7.9,15.3,7.9
2432,7.9,7.9,15.3,7.9
2437,7.9,7.9,15.3,7.9
2442,7.9,7.9,15.3,7.9
2447,7.9,7.9,15.3,7.9
2452,7.9,7.9,15.3,7.9
2457,7.9,7.9,15.3,7.9
2462,7.9,7.9,15.3,7.9
2467,7.9,7.9,15.3,7.9
2472,7.9,15.5,15.3,7.9
5180,15.5,15.5,15.3,7.9
5260,15.5,15.5,15.3,7.9
5320,15.5,15.5,15.3,7.9
5500,15.5,15.5,15.3,7.9
5600,15.5,15.5,15.3,7.9
5700,15.5,15.5,15.3,7.9
5745,16.2,16.1,15.3,7.9
5785,16.2,16.1,15.3,7.9
5825,16.2,16.1,15.3,7.9
