Frequency,1,2,3,4
2412,15.5,15.5,15.5,15.5
2417,15.5,15.5,15.5,15.5
2422,15.5,15.5,15.5,15.5
2427,15.5,15.5,15.5,15.5
2432,15.5,15.5,15.5,15.5
2437,15.5,15.5,15.5,15.5
2442,15.5,15.5,15.5,15.5
2447,15.5,15.5,15.5,15.5
2452,15.5,15.5,15.5,15.5
2457,15.5,15.5,15.5,15.5
2462,15.5,15.5,15.5,15.5
2467,15.5,15.5,15.5,15.5
2472,15.5,15.5,15.5,15.5
5180,16.1,16.1,16.1,16.1
5260,16.1,16.1,16.1,16.1
5320,16.1,16.1,16.1,16.1
5500,16.1,16.1,16.1,16.1
5600,16.4,16.4,16.4,16.4
5700,16.1,16.1,16.1,16.1
5745,16.1,16.1,16.1,16.1
5785,16.5,16.5,16.5,16.5
5825,16.3,16.3,16.3,16.3
